,dport,sport,num_packets up,total_bytes up,min_pkt_size up,max_pkt_size up,mean_pkt_size up,std_pkt_size up,min_iat up,max_iat up,mean_iat up,std_iat up,num_packets down,total_bytes down,min_pkt_size down,max_pkt_size down,mean_pkt_size down,std_pkt_size down,min_iat down,max_iat down,mean_iat down,std_iat down,website
79,443.0,48216.0,62.0,4039.0,40.0,569.0,65.14516129032258,67.07858048445573,4.000000000000001e-06,0.021444,0.0012014590163934428,0.0030553491266616896,63.0,320227.0,52.0,16458.0,5082.9682539682535,6297.4139315104885,0.0,0.020083,0.001160322580645162,0.002906533802778641,ndtv.com
80,443.0,52990.0,44.0,3103.0,40.0,569.0,70.52272727272727,79.25363718052631,7.000000000000001e-06,0.040935,0.0015528604651162785,0.00623730544913272,42.0,375199.0,52.0,36152.0,8933.309523809523,8650.16288437672,1.0000000000000002e-06,0.039835,0.001587,0.006239265685960167,bbc.co.uk
81,443.0,53024.0,47.0,3259.0,40.0,569.0,69.34042553191489,76.76227464393325,7.000000000000001e-06,0.007086,0.0006961521739130437,0.001228646137780955,45.0,375354.0,52.0,47704.0,8341.2,10455.053703179323,0.0,0.008709,0.0006900681818181819,0.0013720841285097083,bbc.co.uk
82,443.0,53030.0,45.0,3155.0,40.0,569.0,70.11111111111111,78.39649291269407,6e-06,0.006602,0.0005920227272727272,0.0011332919426954536,43.0,375269.0,52.0,37596.0,8727.186046511628,10184.737956878265,0.0,0.008188,0.0005848333333333336,0.0013093551366927692,bbc.co.uk
83,443.0,53092.0,46.0,3207.0,40.0,569.0,69.71739130434783,77.56650567050424,9e-06,0.011288000000000001,0.0010439333333333337,0.0019335764366488432,44.0,375276.0,52.0,41928.0,8529.0,9602.163886454218,0.0,0.013311000000000002,0.00104446511627907,0.0021295621431113953,bbc.co.uk
84,443.0,53144.0,48.0,3311.0,40.0,569.0,68.97916666666667,75.9824978680584,1.1000000000000001e-05,0.011436,0.0008523617021276599,0.001720553796406109,46.0,375426.0,52.0,33264.0,8161.434782608696,8371.891002773438,1.0000000000000002e-06,0.013030000000000002,0.0008547777777777781,0.0019440460489412387,bbc.co.uk
85,443.0,53162.0,44.0,3115.0,40.0,569.0,70.79545454545455,79.16675939314334,8.000000000000001e-06,0.0071600000000000006,0.0007935348837209303,0.0012619370852334463,43.0,375229.0,52.0,39040.0,8726.255813953489,9206.877202067675,0.0,0.008934000000000001,0.0007686904761904761,0.0014097632648192794,bbc.co.uk
86,443.0,53184.0,45.0,3155.0,40.0,569.0,70.11111111111111,78.39649291269407,9e-06,0.006534000000000001,0.0006514545454545453,0.0011092705219688706,43.0,375256.0,52.0,46260.0,8726.883720930233,10310.284348324256,1.0000000000000002e-06,0.007916000000000001,0.0006504523809523808,0.0012559684476847175,bbc.co.uk
87,443.0,53226.0,50.0,3415.0,40.0,569.0,68.3,74.49154177434085,1e-05,0.016371,0.001089367346938776,0.0024126448030280445,49.0,375560.0,52.0,37596.0,7664.489795918367,8690.639123798783,1.0000000000000002e-06,0.018336,0.0010606250000000002,0.002643948020097734,bbc.co.uk
88,443.0,53250.0,48.0,3311.0,40.0,569.0,68.97916666666667,75.9824978680584,9e-06,0.011659000000000001,0.0008751489361702129,0.0017709407593107047,46.0,375384.0,52.0,39040.0,8160.521739130435,9129.002795094888,1.0000000000000002e-06,0.013258,0.000879044444444445,0.0019831338142577578,bbc.co.uk
