,dport,sport,num_packets down,total_bytes down,min_pkt_size down,max_pkt_size down,mean_pkt_size down,std_pkt_size down,min_iat down,max_iat down,mean_iat down,std_iat down,num_packets up,total_bytes up,min_pkt_size up,max_pkt_size up,mean_pkt_size up,std_pkt_size up,min_iat up,max_iat up,mean_iat up,std_iat up,website
62,443.0,55446.0,21.0,57692.0,40.0,8800.0,2747.2380952380954,3407.711297994035,1.0000000000000002e-06,0.5638620000000001,0.02929665,0.12583906644234766,25.0,1982.0,40.0,557.0,79.28,105.80702560164268,3e-06,0.5639080000000001,0.024480125000000005,0.11490839060343096,msn.com
63,443.0,55452.0,21.0,57327.0,40.0,8800.0,2729.8571428571427,3187.7711066780544,0.0,0.128468,0.007748050000000001,0.02851037520932188,23.0,1902.0,40.0,557.0,82.69565217391305,109.81986688234208,3e-06,0.12849100000000002,0.007160545454545458,0.02716075506301461,msn.com
64,443.0,55460.0,22.0,57924.0,40.0,8800.0,2632.909090909091,3163.7947815737703,0.0,0.126094,0.007105904761904762,0.027344883579757225,23.0,1902.0,40.0,557.0,82.69565217391305,109.81986688234208,7.000000000000001e-06,0.12611,0.006875272727272727,0.026683943458445315,msn.com
65,443.0,55498.0,23.0,57792.0,40.0,8270.0,2512.695652173913,3113.099689359358,1.0000000000000002e-06,0.08318600000000001,0.006035227272727272,0.018004709820149623,25.0,1982.0,40.0,557.0,79.28,105.80702560164268,1.2e-05,0.083203,0.005586500000000001,0.017160812877270577,msn.com
66,443.0,55510.0,24.0,57717.0,40.0,8270.0,2404.875,3000.9429143187645,1.0000000000000002e-06,0.083692,0.00453308695652174,0.017353206976110532,26.0,2022.0,40.0,557.0,77.76923076923077,103.95510865457558,3e-06,0.083706,0.0042311599999999994,0.016626116741139528,msn.com
67,443.0,55522.0,22.0,57774.0,40.0,8800.0,2626.090909090909,3392.710307326169,0.0,0.10167100000000001,0.006034666666666667,0.02203325034200205,23.0,1902.0,40.0,557.0,82.69565217391305,109.81986688234208,4.000000000000001e-06,0.10168600000000001,0.005848045454545456,0.021485271286067833,msn.com
68,443.0,55528.0,23.0,57857.0,40.0,8800.0,2515.521739130435,3320.053256275557,0.0,0.122574,0.0065280909090909105,0.025988617953523405,23.0,1902.0,40.0,557.0,82.69565217391305,109.81986688234208,3e-06,0.12259,0.0066033181818181816,0.025953970587848242,msn.com
69,443.0,55540.0,21.0,57637.0,40.0,8800.0,2744.6190476190477,3366.260810991782,0.0,0.121563,0.0072502500000000015,0.026986730536311246,23.0,1902.0,40.0,557.0,82.69565217391305,109.81986688234208,5e-06,0.121588,0.006686090909090909,0.025717268232156296,msn.com
70,443.0,41030.0,49.0,320664.0,52.0,27513.0,6544.163265306122,7484.526013012166,0.0,0.043730000000000005,0.0017171458333333333,0.006373961008331236,52.0,3531.0,40.0,569.0,67.90384615384616,73.01470698357576,5e-06,0.04374,0.0016597254901960779,0.006164133593874913,ndtv.com
71,443.0,41046.0,47.0,320539.0,52.0,34804.0,6819.978723404255,9320.079868778326,1.0000000000000002e-06,0.037766,0.001990673913043478,0.006385212579961951,48.0,3311.0,40.0,569.0,68.97916666666667,75.9824978680584,5e-06,0.039508,0.0019827872340425533,0.00641830908565207,ndtv.com
72,443.0,41064.0,61.0,321219.0,52.0,16458.0,5265.88524590164,5980.168860766281,0.0,0.043417000000000004,0.0015385000000000004,0.00571234810724146,60.0,3935.0,40.0,569.0,65.58333333333333,68.1616452780128,5e-06,0.044799000000000005,0.0016035254237288137,0.005901610503033465,ndtv.com
73,443.0,41070.0,62.0,321390.0,52.0,16458.0,5183.709677419355,5665.980636224302,0.0,0.010929000000000001,0.0008841803278688525,0.0019194497172210295,58.0,3831.0,40.0,569.0,66.05172413793103,69.29884999774737,4.000000000000001e-06,0.012123,0.0009726491228070173,0.002003208591335661,ndtv.com
74,443.0,41088.0,54.0,321027.0,52.0,32931.0,5944.944444444444,7317.518871230713,1.0000000000000002e-06,0.043193,0.0017135849056603774,0.006037813694459158,52.0,3519.0,40.0,569.0,67.67307692307692,73.08488783300264,5e-06,0.044584000000000006,0.0018144313725490197,0.006305986375674791,ndtv.com
75,443.0,41102.0,50.0,320550.0,52.0,42030.0,6411.0,8616.525219434041,0.0,0.032437,0.0014248571428571429,0.004788402443230238,52.0,3519.0,40.0,569.0,67.67307692307692,73.08488783300264,4.000000000000001e-06,0.033546,0.0013942156862745097,0.004814579044168767,ndtv.com
76,443.0,41116.0,53.0,320900.0,52.0,31416.0,6054.7169811320755,6851.086644235459,1.0000000000000002e-06,0.009827,0.0009705576923076927,0.0019285247171974822,55.0,3675.0,40.0,569.0,66.81818181818181,71.11651652435559,5e-06,0.011487,0.0009682037037037043,0.001953971904354024,ndtv.com
77,443.0,41120.0,54.0,320868.0,52.0,32864.0,5942.0,7553.110969710078,1.0000000000000002e-06,0.037270000000000005,0.0014548867924528304,0.005217294924871646,53.0,3571.0,40.0,569.0,67.37735849056604,72.4107478250332,3e-06,0.038631000000000006,0.0015162307692307695,0.005410803530683972,ndtv.com
78,443.0,41134.0,49.0,320533.0,52.0,32864.0,6541.489795918367,8236.978122372026,0.0,0.010553,0.0009533125000000003,0.0020025554754315427,51.0,3467.0,40.0,569.0,67.98039215686275,73.77817839878627,3e-06,0.011979,0.0009473999999999999,0.002028538289467748,ndtv.com
79,443.0,41144.0,49.0,320586.0,52.0,35898.0,6542.571428571428,8848.146032267627,0.0,0.034446000000000004,0.0014937083333333336,0.005062680788296296,51.0,3467.0,40.0,569.0,67.98039215686275,73.77817839878627,3e-06,0.036219,0.00146996,0.005161977950913226,ndtv.com
80,443.0,40546.0,49.0,372762.0,52.0,31820.0,7607.3877551020405,8007.335579060006,1.0000000000000002e-06,0.046256000000000005,0.0019088750000000006,0.006923775939517276,49.0,3375.0,40.0,569.0,68.87755102040816,75.15030290831096,7.000000000000001e-06,0.048105,0.0019641041666666674,0.007089524424345156,bbc.co.uk
